,ECG I,ECG I filtered
0 days 00:00:02.556000,0.015,-0.025
0 days 00:00:02.558000,-0.005,-0.03
0 days 00:00:02.560000,0.0,-0.03
0 days 00:00:02.562000,0.01,-0.035
0 days 00:00:02.564000,0.01,-0.035
0 days 00:00:02.566000,0.01,-0.04
0 days 00:00:02.568000,0.03,-0.05
0 days 00:00:02.570000,0.015,-0.055
0 days 00:00:02.572000,0.005,-0.06
0 days 00:00:02.574000,-0.01,-0.065
0 days 00:00:02.576000,-0.02,-0.065
0 days 00:00:02.578000,-0.03,-0.065
0 days 00:00:02.580000,-0.02,-0.065
0 days 00:00:02.582000,-0.015,-0.06
0 days 00:00:02.584000,-0.01,-0.06
0 days 00:00:02.586000,-0.005,-0.06
0 days 00:00:02.588000,0.01,-0.065
0 days 00:00:02.590000,-0.01,-0.07
0 days 00:00:02.592000,-0.005,-0.075
0 days 00:00:02.594000,-0.025,-0.08
0 days 00:00:02.596000,-0.055,-0.09
0 days 00:00:02.598000,-0.04,-0.09
0 days 00:00:02.600000,-0.035,-0.09
0 days 00:00:02.602000,-0.01,-0.09
0 days 00:00:02.604000,0.0,-0.085
0 days 00:00:02.606000,0.005,-0.08
0 days 00:00:02.608000,0.005,-0.075
0 days 00:00:02.610000,-0.005,-0.075
0 days 00:00:02.612000,-0.03,-0.075
0 days 00:00:02.614000,-0.035,-0.08
0 days 00:00:02.616000,-0.04,-0.085
0 days 00:00:02.618000,-0.03,-0.09
0 days 00:00:02.620000,-0.035,-0.095
0 days 00:00:02.622000,-0.03,-0.1
0 days 00:00:02.624000,-0.02,-0.1
0 days 00:00:02.626000,-0.015,-0.1
0 days 00:00:02.628000,-0.01,-0.1
0 days 00:00:02.630000,-0.025,-0.09
0 days 00:00:02.632000,-0.035,-0.085
0 days 00:00:02.634000,-0.055,-0.075
0 days 00:00:02.636000,-0.055,-0.07
0 days 00:00:02.638000,-0.05,-0.065
0 days 00:00:02.640000,-0.04,-0.06
0 days 00:00:02.642000,-0.025,-0.065
0 days 00:00:02.644000,-0.015,-0.065
0 days 00:00:02.646000,-0.02,-0.07
0 days 00:00:02.648000,-0.01,-0.075
0 days 00:00:02.650000,-0.025,-0.08
0 days 00:00:02.652000,-0.03,-0.085
0 days 00:00:02.654000,-0.035,-0.085
0 days 00:00:02.656000,-0.05,-0.09
0 days 00:00:02.658000,-0.055,-0.09
0 days 00:00:02.660000,-0.04,-0.09
0 days 00:00:02.662000,-0.04,-0.085
0 days 00:00:02.664000,-0.02,-0.085
0 days 00:00:02.666000,-0.015,-0.08
0 days 00:00:02.668000,-0.02,-0.08
0 days 00:00:02.670000,-0.03,-0.075
0 days 00:00:02.672000,-0.045,-0.075
0 days 00:00:02.674000,-0.05,-0.07
0 days 00:00:02.676000,-0.055,-0.07
0 days 00:00:02.678000,-0.055,-0.07
0 days 00:00:02.680000,-0.05,-0.07
0 days 00:00:02.682000,-0.02,-0.075
0 days 00:00:02.684000,-0.025,-0.075
0 days 00:00:02.686000,-0.025,-0.08
0 days 00:00:02.688000,-0.015,-0.085
0 days 00:00:02.690000,-0.035,-0.085
0 days 00:00:02.692000,-0.04,-0.085
0 days 00:00:02.694000,-0.04,-0.085
0 days 00:00:02.696000,-0.04,-0.085
0 days 00:00:02.698000,-0.04,-0.08
0 days 00:00:02.700000,-0.025,-0.08
0 days 00:00:02.702000,-0.035,-0.075
0 days 00:00:02.704000,-0.03,-0.075
0 days 00:00:02.706000,-0.025,-0.075
0 days 00:00:02.708000,-0.03,-0.075
0 days 00:00:02.710000,-0.045,-0.075
0 days 00:00:02.712000,-0.06,-0.08
0 days 00:00:02.714000,-0.06,-0.08
0 days 00:00:02.716000,-0.065,-0.08
0 days 00:00:02.718000,-0.06,-0.08
0 days 00:00:02.720000,-0.04,-0.08
0 days 00:00:02.722000,-0.03,-0.08
0 days 00:00:02.724000,-0.035,-0.08
0 days 00:00:02.726000,-0.03,-0.08
0 days 00:00:02.728000,-0.025,-0.085
0 days 00:00:02.730000,-0.045,-0.09
0 days 00:00:02.732000,-0.045,-0.09
0 days 00:00:02.734000,-0.065,-0.095
0 days 00:00:02.736000,-0.07,-0.095
0 days 00:00:02.738000,-0.065,-0.1
0 days 00:00:02.740000,-0.055,-0.1
0 days 00:00:02.742000,-0.05,-0.1
0 days 00:00:02.744000,-0.035,-0.095
0 days 00:00:02.746000,-0.03,-0.095
0 days 00:00:02.748000,-0.03,-0.095
0 days 00:00:02.750000,-0.045,-0.09
0 days 00:00:02.752000,-0.06,-0.09
0 days 00:00:02.754000,-0.065,-0.09
0 days 00:00:02.756000,-0.075,-0.09
0 days 00:00:02.758000,-0.07,-0.09
0 days 00:00:02.760000,-0.05,-0.095
0 days 00:00:02.762000,-0.05,-0.095
0 days 00:00:02.764000,-0.04,-0.095
0 days 00:00:02.766000,-0.03,-0.09
0 days 00:00:02.768000,-0.04,-0.09
0 days 00:00:02.770000,-0.045,-0.085
0 days 00:00:02.772000,-0.06,-0.08
0 days 00:00:02.774000,-0.06,-0.075
0 days 00:00:02.776000,-0.065,-0.07
0 days 00:00:02.778000,-0.075,-0.07
0 days 00:00:02.780000,-0.07,-0.065
0 days 00:00:02.782000,-0.06,-0.065
0 days 00:00:02.784000,-0.055,-0.065
0 days 00:00:02.786000,-0.045,-0.07
0 days 00:00:02.788000,-0.05,-0.075
0 days 00:00:02.790000,-0.055,-0.08
0 days 00:00:02.792000,-0.065,-0.09
0 days 00:00:02.794000,-0.065,-0.095
0 days 00:00:02.796000,-0.08,-0.095
0 days 00:00:02.798000,-0.065,-0.1
0 days 00:00:02.800000,-0.055,-0.095
0 days 00:00:02.802000,-0.04,-0.095
0 days 00:00:02.804000,-0.04,-0.09
0 days 00:00:02.806000,-0.03,-0.08
0 days 00:00:02.808000,-0.035,-0.08
0 days 00:00:02.810000,-0.05,-0.075
0 days 00:00:02.812000,-0.075,-0.075
0 days 00:00:02.814000,-0.075,-0.075
0 days 00:00:02.816000,-0.095,-0.08
0 days 00:00:02.818000,-0.09,-0.085
0 days 00:00:02.820000,-0.065,-0.085
0 days 00:00:02.822000,-0.055,-0.09
0 days 00:00:02.824000,-0.045,-0.095
0 days 00:00:02.826000,-0.045,-0.095
0 days 00:00:02.828000,-0.055,-0.095
0 days 00:00:02.830000,-0.07,-0.095
0 days 00:00:02.832000,-0.08,-0.095
0 days 00:00:02.834000,-0.075,-0.095
0 days 00:00:02.836000,-0.075,-0.095
0 days 00:00:02.838000,-0.065,-0.095
0 days 00:00:02.840000,-0.06,-0.1
0 days 00:00:02.842000,-0.055,-0.1
0 days 00:00:02.844000,-0.045,-0.1
0 days 00:00:02.846000,-0.04,-0.1
0 days 00:00:02.848000,-0.04,-0.1
0 days 00:00:02.850000,-0.055,-0.1
0 days 00:00:02.852000,-0.075,-0.1
0 days 00:00:02.854000,-0.075,-0.1
0 days 00:00:02.856000,-0.08,-0.1
0 days 00:00:02.858000,-0.065,-0.095
0 days 00:00:02.860000,-0.06,-0.095
0 days 00:00:02.862000,-0.055,-0.095
0 days 00:00:02.864000,-0.06,-0.09
0 days 00:00:02.866000,-0.045,-0.085
0 days 00:00:02.868000,-0.065,-0.085
0 days 00:00:02.870000,-0.075,-0.08
0 days 00:00:02.872000,-0.085,-0.075
0 days 00:00:02.874000,-0.09,-0.075
0 days 00:00:02.876000,-0.09,-0.07
0 days 00:00:02.878000,-0.075,-0.07
0 days 00:00:02.880000,-0.055,-0.075
0 days 00:00:02.882000,-0.03,-0.075
0 days 00:00:02.884000,-0.025,-0.08
0 days 00:00:02.886000,-0.045,-0.085
0 days 00:00:02.888000,-0.065,-0.09
0 days 00:00:02.890000,-0.075,-0.09
0 days 00:00:02.892000,-0.085,-0.09
0 days 00:00:02.894000,-0.09,-0.09
0 days 00:00:02.896000,-0.1,-0.09
0 days 00:00:02.898000,-0.085,-0.085
0 days 00:00:02.900000,-0.07,-0.085
0 days 00:00:02.902000,-0.06,-0.08
0 days 00:00:02.904000,-0.045,-0.08
0 days 00:00:02.906000,-0.04,-0.08
0 days 00:00:02.908000,-0.06,-0.08
0 days 00:00:02.910000,-0.07,-0.08
0 days 00:00:02.912000,-0.075,-0.08
0 days 00:00:02.914000,-0.085,-0.085
0 days 00:00:02.916000,-0.085,-0.085
0 days 00:00:02.918000,-0.07,-0.085
0 days 00:00:02.920000,-0.06,-0.08
0 days 00:00:02.922000,-0.06,-0.08
0 days 00:00:02.924000,-0.055,-0.08
0 days 00:00:02.926000,-0.05,-0.075
0 days 00:00:02.928000,-0.065,-0.075
0 days 00:00:02.930000,-0.075,-0.07
0 days 00:00:02.932000,-0.075,-0.07
0 days 00:00:02.934000,-0.08,-0.065
0 days 00:00:02.936000,-0.07,-0.065
0 days 00:00:02.938000,-0.06,-0.065
0 days 00:00:02.940000,-0.055,-0.065
0 days 00:00:02.942000,-0.055,-0.065
0 days 00:00:02.944000,-0.045,-0.065
0 days 00:00:02.946000,-0.04,-0.07
0 days 00:00:02.948000,-0.065,-0.075
0 days 00:00:02.950000,-0.08,-0.08
0 days 00:00:02.952000,-0.09,-0.08
0 days 00:00:02.954000,-0.07,-0.085
0 days 00:00:02.956000,-0.08,-0.085
0 days 00:00:02.958000,-0.07,-0.085
0 days 00:00:02.960000,-0.05,-0.08
0 days 00:00:02.962000,-0.045,-0.075
0 days 00:00:02.964000,-0.05,-0.075
0 days 00:00:02.966000,-0.045,-0.07
0 days 00:00:02.968000,-0.055,-0.07
0 days 00:00:02.970000,-0.07,-0.07
0 days 00:00:02.972000,-0.075,-0.07
0 days 00:00:02.974000,-0.07,-0.07
0 days 00:00:02.976000,-0.065,-0.07
0 days 00:00:02.978000,-0.06,-0.07
0 days 00:00:02.980000,-0.055,-0.065
0 days 00:00:02.982000,-0.055,-0.065
0 days 00:00:02.984000,-0.04,-0.06
0 days 00:00:02.986000,-0.045,-0.06
0 days 00:00:02.988000,-0.06,-0.055
0 days 00:00:02.990000,-0.055,-0.055
0 days 00:00:02.992000,-0.05,-0.055
0 days 00:00:02.994000,-0.065,-0.055
0 days 00:00:02.996000,-0.055,-0.055
0 days 00:00:02.998000,-0.04,-0.055
0 days 00:00:03,-0.035,-0.055
0 days 00:00:03.002000,-0.015,-0.055
0 days 00:00:03.004000,-0.02,-0.055
0 days 00:00:03.006000,-0.03,-0.05
0 days 00:00:03.008000,-0.035,-0.05
0 days 00:00:03.010000,-0.05,-0.045
0 days 00:00:03.012000,-0.05,-0.045
0 days 00:00:03.014000,-0.05,-0.04
0 days 00:00:03.016000,-0.05,-0.04
0 days 00:00:03.018000,-0.04,-0.035
0 days 00:00:03.020000,-0.02,-0.03
0 days 00:00:03.022000,0.005,-0.025
0 days 00:00:03.024000,0.01,-0.02
0 days 00:00:03.026000,0.015,-0.02
0 days 00:00:03.028000,0.0,-0.015
0 days 00:00:03.030000,0.0,-0.01
0 days 00:00:03.032000,-0.015,-0.005
0 days 00:00:03.034000,-0.02,-0.005
0 days 00:00:03.036000,-0.02,-0.005
0 days 00:00:03.038000,-0.02,-0.005
0 days 00:00:03.040000,-0.005,-0.005
0 days 00:00:03.042000,0.01,-0.005
0 days 00:00:03.044000,0.045,-0.01
0 days 00:00:03.046000,0.025,-0.01
0 days 00:00:03.048000,0.005,-0.01
0 days 00:00:03.050000,0.0,-0.01
0 days 00:00:03.052000,-0.025,-0.01
0 days 00:00:03.054000,-0.045,-0.01
0 days 00:00:03.056000,-0.04,-0.01
0 days 00:00:03.058000,-0.025,-0.01
0 days 00:00:03.060000,-0.025,-0.015
0 days 00:00:03.062000,-0.03,-0.015
0 days 00:00:03.064000,-0.03,-0.02
0 days 00:00:03.066000,-0.05,-0.025
0 days 00:00:03.068000,-0.06,-0.03
0 days 00:00:03.070000,-0.075,-0.04
0 days 00:00:03.072000,-0.085,-0.045
0 days 00:00:03.074000,-0.09,-0.055
0 days 00:00:03.076000,-0.09,-0.06
0 days 00:00:03.078000,-0.07,-0.07
0 days 00:00:03.080000,-0.07,-0.075
0 days 00:00:03.082000,-0.055,-0.075
0 days 00:00:03.084000,-0.045,-0.08
0 days 00:00:03.086000,-0.055,-0.08
0 days 00:00:03.088000,-0.07,-0.075
0 days 00:00:03.090000,-0.08,-0.07
0 days 00:00:03.092000,-0.08,-0.07
0 days 00:00:03.094000,-0.09,-0.065
0 days 00:00:03.096000,-0.09,-0.06
0 days 00:00:03.098000,-0.08,-0.06
0 days 00:00:03.100000,-0.06,-0.055
0 days 00:00:03.102000,-0.06,-0.055
0 days 00:00:03.104000,-0.06,-0.06
0 days 00:00:03.106000,-0.08,-0.06
0 days 00:00:03.108000,-0.08,-0.065
0 days 00:00:03.110000,-0.085,-0.065
0 days 00:00:03.112000,-0.105,-0.07
0 days 00:00:03.114000,-0.11,-0.075
0 days 00:00:03.116000,-0.1,-0.075
0 days 00:00:03.118000,-0.08,-0.08
0 days 00:00:03.120000,-0.075,-0.085
0 days 00:00:03.122000,-0.065,-0.085
0 days 00:00:03.124000,-0.055,-0.085
0 days 00:00:03.126000,-0.07,-0.085
0 days 00:00:03.128000,-0.085,-0.085
0 days 00:00:03.130000,-0.1,-0.085
0 days 00:00:03.132000,-0.11,-0.085
0 days 00:00:03.134000,-0.105,-0.085
0 days 00:00:03.136000,-0.09,-0.085
0 days 00:00:03.138000,-0.085,-0.085
0 days 00:00:03.140000,-0.08,-0.085
0 days 00:00:03.142000,-0.075,-0.085
0 days 00:00:03.144000,-0.05,-0.08
0 days 00:00:03.146000,-0.08,-0.08
0 days 00:00:03.148000,-0.085,-0.075
0 days 00:00:03.150000,-0.09,-0.075
0 days 00:00:03.152000,-0.11,-0.07
0 days 00:00:03.154000,-0.12,-0.07
0 days 00:00:03.156000,-0.105,-0.07
0 days 00:00:03.158000,-0.095,-0.075
0 days 00:00:03.160000,-0.1,-0.08
0 days 00:00:03.162000,-0.1,-0.085
0 days 00:00:03.164000,-0.105,-0.09
0 days 00:00:03.166000,-0.125,-0.095
0 days 00:00:03.168000,-0.13,-0.095
0 days 00:00:03.170000,-0.125,-0.09
0 days 00:00:03.172000,-0.125,-0.08
0 days 00:00:03.174000,-0.09,-0.06
0 days 00:00:03.176000,-0.02,-0.03
0 days 00:00:03.178000,0.045,0.015
0 days 00:00:03.180000,0.095,0.07
0 days 00:00:03.182000,0.155,0.135
0 days 00:00:03.184000,0.235,0.215
0 days 00:00:03.186000,0.275,0.305
0 days 00:00:03.188000,0.36,0.395
0 days 00:00:03.190000,0.46,0.485
0 days 00:00:03.192000,0.59,0.56
0 days 00:00:03.194000,0.67,0.625
0 days 00:00:03.196000,0.675,0.665
0 days 00:00:03.198000,0.675,0.67
0 days 00:00:03.200000,0.62,0.65
0 days 00:00:03.202000,0.575,0.59
0 days 00:00:03.204000,0.465,0.505
0 days 00:00:03.206000,0.38,0.4
0 days 00:00:03.208000,0.27,0.28
0 days 00:00:03.210000,0.135,0.165
0 days 00:00:03.212000,-0.01,0.055
0 days 00:00:03.214000,-0.13,-0.035
0 days 00:00:03.216000,-0.18,-0.1
0 days 00:00:03.218000,-0.185,-0.135
0 days 00:00:03.220000,-0.15,-0.15
0 days 00:00:03.222000,-0.135,-0.15
0 days 00:00:03.224000,-0.11,-0.135
0 days 00:00:03.226000,-0.085,-0.11
0 days 00:00:03.228000,-0.07,-0.09
0 days 00:00:03.230000,-0.07,-0.075
0 days 00:00:03.232000,-0.075,-0.06
0 days 00:00:03.234000,-0.06,-0.05
0 days 00:00:03.236000,-0.05,-0.045
0 days 00:00:03.238000,-0.05,-0.045
0 days 00:00:03.240000,-0.035,-0.04
0 days 00:00:03.242000,-0.03,-0.035
0 days 00:00:03.244000,-0.035,-0.03
0 days 00:00:03.246000,-0.05,-0.025
0 days 00:00:03.248000,-0.06,-0.02
0 days 00:00:03.250000,-0.06,-0.015
0 days 00:00:03.252000,-0.06,-0.015
0 days 00:00:03.254000,-0.065,-0.015
0 days 00:00:03.256000,-0.05,-0.02
0 days 00:00:03.258000,-0.04,-0.02
0 days 00:00:03.260000,-0.03,-0.025
0 days 00:00:03.262000,-0.04,-0.025
0 days 00:00:03.264000,-0.03,-0.025
0 days 00:00:03.266000,-0.045,-0.025
0 days 00:00:03.268000,-0.065,-0.025
0 days 00:00:03.270000,-0.06,-0.025
0 days 00:00:03.272000,-0.065,-0.02
0 days 00:00:03.274000,-0.04,-0.025
0 days 00:00:03.276000,-0.04,-0.025
0 days 00:00:03.278000,-0.02,-0.025
0 days 00:00:03.280000,-0.01,-0.025
0 days 00:00:03.282000,-0.015,-0.02
0 days 00:00:03.284000,-0.015,-0.02
0 days 00:00:03.286000,-0.03,-0.015
0 days 00:00:03.288000,-0.045,-0.015
0 days 00:00:03.290000,-0.04,-0.01
0 days 00:00:03.292000,-0.055,-0.01
0 days 00:00:03.294000,-0.045,-0.005
0 days 00:00:03.296000,-0.03,-0.005
0 days 00:00:03.298000,-0.01,-0.005
0 days 00:00:03.300000,0.005,-0.005
0 days 00:00:03.302000,0.01,-0.01
0 days 00:00:03.304000,0.0,-0.01
0 days 00:00:03.306000,-0.025,-0.01
0 days 00:00:03.308000,-0.03,-0.005
0 days 00:00:03.310000,-0.035,-0.01
0 days 00:00:03.312000,-0.065,-0.01
0 days 00:00:03.314000,-0.04,-0.01
0 days 00:00:03.316000,-0.015,-0.01
0 days 00:00:03.318000,-0.015,-0.01
0 days 00:00:03.320000,-0.005,-0.01
0 days 00:00:03.322000,0.015,-0.01
0 days 00:00:03.324000,0.01,-0.01
0 days 00:00:03.326000,0.005,-0.005
0 days 00:00:03.328000,-0.005,0.0
0 days 00:00:03.330000,-0.01,0.005
0 days 00:00:03.332000,-0.015,0.01
0 days 00:00:03.334000,0.0,0.015
0 days 00:00:03.336000,-0.005,0.015
0 days 00:00:03.338000,0.0,0.02
0 days 00:00:03.340000,0.01,0.02
0 days 00:00:03.342000,0.025,0.025
0 days 00:00:03.344000,0.03,0.025
0 days 00:00:03.346000,0.015,0.03
0 days 00:00:03.348000,0.015,0.035
0 days 00:00:03.350000,0.0,0.04
0 days 00:00:03.352000,0.01,0.05
0 days 00:00:03.354000,0.01,0.055
0 days 00:00:03.356000,0.03,0.06
0 days 00:00:03.358000,0.045,0.06
0 days 00:00:03.360000,0.055,0.065
0 days 00:00:03.362000,0.065,0.065
0 days 00:00:03.364000,0.07,0.065
0 days 00:00:03.366000,0.065,0.065
0 days 00:00:03.368000,0.06,0.065
0 days 00:00:03.370000,0.05,0.07
0 days 00:00:03.372000,0.065,0.075
0 days 00:00:03.374000,0.07,0.085
0 days 00:00:03.376000,0.1,0.09
0 days 00:00:03.378000,0.11,0.095
0 days 00:00:03.380000,0.115,0.105
0 days 00:00:03.382000,0.13,0.11
0 days 00:00:03.384000,0.13,0.115
0 days 00:00:03.386000,0.12,0.12
0 days 00:00:03.388000,0.115,0.125
0 days 00:00:03.390000,0.115,0.13
0 days 00:00:03.392000,0.125,0.135
0 days 00:00:03.394000,0.14,0.145
0 days 00:00:03.396000,0.155,0.15
0 days 00:00:03.398000,0.17,0.16
0 days 00:00:03.400000,0.165,0.165
0 days 00:00:03.402000,0.175,0.175
0 days 00:00:03.404000,0.165,0.18
0 days 00:00:03.406000,0.17,0.185
0 days 00:00:03.408000,0.185,0.185
0 days 00:00:03.410000,0.18,0.19
0 days 00:00:03.412000,0.175,0.195
0 days 00:00:03.414000,0.195,0.195
0 days 00:00:03.416000,0.2,0.2
0 days 00:00:03.418000,0.21,0.205
0 days 00:00:03.420000,0.195,0.21
0 days 00:00:03.422000,0.215,0.21
0 days 00:00:03.424000,0.195,0.215
0 days 00:00:03.426000,0.195,0.22
0 days 00:00:03.428000,0.19,0.225
0 days 00:00:03.430000,0.17,0.225
0 days 00:00:03.432000,0.165,0.225
0 days 00:00:03.434000,0.17,0.22
0 days 00:00:03.436000,0.185,0.215
0 days 00:00:03.438000,0.17,0.205
0 days 00:00:03.440000,0.175,0.195
0 days 00:00:03.442000,0.17,0.18
0 days 00:00:03.444000,0.175,0.17
0 days 00:00:03.446000,0.13,0.155
0 days 00:00:03.448000,0.125,0.145
0 days 00:00:03.450000,0.12,0.14
0 days 00:00:03.452000,0.105,0.135
0 days 00:00:03.454000,0.105,0.135
0 days 00:00:03.456000,0.11,0.135
0 days 00:00:03.458000,0.105,0.135
0 days 00:00:03.460000,0.1,0.13
0 days 00:00:03.462000,0.09,0.125
0 days 00:00:03.464000,0.075,0.115
0 days 00:00:03.466000,0.065,0.1
0 days 00:00:03.468000,0.045,0.08
0 days 00:00:03.470000,0.025,0.065
0 days 00:00:03.472000,0.005,0.045
0 days 00:00:03.474000,0.005,0.03
0 days 00:00:03.476000,-0.005,0.02
0 days 00:00:03.478000,0.005,0.015
0 days 00:00:03.480000,0.005,0.015
0 days 00:00:03.482000,0.0,0.015
0 days 00:00:03.484000,-0.015,0.015
0 days 00:00:03.486000,-0.025,0.015
0 days 00:00:03.488000,-0.03,0.015
0 days 00:00:03.490000,-0.045,0.01
0 days 00:00:03.492000,-0.05,0.0
0 days 00:00:03.494000,-0.05,-0.005
0 days 00:00:03.496000,-0.035,-0.015
0 days 00:00:03.498000,-0.035,-0.025
0 days 00:00:03.500000,-0.02,-0.025
0 days 00:00:03.502000,-0.02,-0.03
0 days 00:00:03.504000,-0.035,-0.03
0 days 00:00:03.506000,-0.04,-0.03
0 days 00:00:03.508000,-0.055,-0.03
0 days 00:00:03.510000,-0.055,-0.03
0 days 00:00:03.512000,-0.045,-0.03
0 days 00:00:03.514000,-0.04,-0.03
0 days 00:00:03.516000,-0.045,-0.035
0 days 00:00:03.518000,-0.05,-0.035
0 days 00:00:03.520000,-0.055,-0.04
0 days 00:00:03.522000,-0.055,-0.045
0 days 00:00:03.524000,-0.075,-0.05
0 days 00:00:03.526000,-0.075,-0.05
0 days 00:00:03.528000,-0.07,-0.05
0 days 00:00:03.530000,-0.075,-0.05
0 days 00:00:03.532000,-0.075,-0.05
0 days 00:00:03.534000,-0.06,-0.05
0 days 00:00:03.536000,-0.055,-0.045
0 days 00:00:03.538000,-0.055,-0.045
0 days 00:00:03.540000,-0.05,-0.045
0 days 00:00:03.542000,-0.045,-0.05
0 days 00:00:03.544000,-0.05,-0.05
0 days 00:00:03.546000,-0.06,-0.055
0 days 00:00:03.548000,-0.065,-0.055
0 days 00:00:03.550000,-0.08,-0.055
0 days 00:00:03.552000,-0.07,-0.055
0 days 00:00:03.554000,-0.06,-0.055
0 days 00:00:03.556000,-0.055,-0.05
0 days 00:00:03.558000,-0.035,-0.05
0 days 00:00:03.560000,-0.02,-0.045
0 days 00:00:03.562000,-0.025,-0.04
0 days 00:00:03.564000,-0.045,-0.035
0 days 00:00:03.566000,-0.07,-0.03
0 days 00:00:03.568000,-0.07,-0.03
0 days 00:00:03.570000,-0.075,-0.035
0 days 00:00:03.572000,-0.055,-0.04
0 days 00:00:03.574000,-0.045,-0.045
0 days 00:00:03.576000,-0.02,-0.05
0 days 00:00:03.578000,-0.035,-0.055
0 days 00:00:03.580000,-0.025,-0.06
0 days 00:00:03.582000,-0.025,-0.06
0 days 00:00:03.584000,-0.04,-0.065
0 days 00:00:03.586000,-0.055,-0.065
0 days 00:00:03.588000,-0.065,-0.065
0 days 00:00:03.590000,-0.07,-0.065
0 days 00:00:03.592000,-0.065,-0.06
0 days 00:00:03.594000,-0.045,-0.055
0 days 00:00:03.596000,-0.04,-0.05
0 days 00:00:03.598000,-0.04,-0.05
0 days 00:00:03.600000,-0.025,-0.045
0 days 00:00:03.602000,-0.01,-0.045
0 days 00:00:03.604000,-0.035,-0.045
0 days 00:00:03.606000,-0.045,-0.045
0 days 00:00:03.608000,-0.05,-0.05
0 days 00:00:03.610000,-0.065,-0.05
0 days 00:00:03.612000,-0.065,-0.055
0 days 00:00:03.614000,-0.05,-0.055
0 days 00:00:03.616000,-0.035,-0.055
0 days 00:00:03.618000,-0.035,-0.055
0 days 00:00:03.620000,-0.02,-0.05
0 days 00:00:03.622000,-0.015,-0.04
0 days 00:00:03.624000,-0.03,-0.03
0 days 00:00:03.626000,-0.035,-0.025
0 days 00:00:03.628000,-0.045,-0.02
0 days 00:00:03.630000,-0.05,-0.015
0 days 00:00:03.632000,-0.05,-0.015
0 days 00:00:03.634000,-0.03,-0.02
0 days 00:00:03.636000,-0.03,-0.025
0 days 00:00:03.638000,-0.03,-0.03
0 days 00:00:03.640000,-0.025,-0.04
0 days 00:00:03.642000,-0.01,-0.045
0 days 00:00:03.644000,-0.04,-0.045
0 days 00:00:03.646000,-0.035,-0.045
0 days 00:00:03.648000,-0.04,-0.045
0 days 00:00:03.650000,-0.05,-0.04
0 days 00:00:03.652000,-0.035,-0.035
0 days 00:00:03.654000,-0.035,-0.03
0 days 00:00:03.656000,-0.015,-0.03
0 days 00:00:03.658000,-0.025,-0.025
0 days 00:00:03.660000,-0.015,-0.025
0 days 00:00:03.662000,-0.015,-0.025
0 days 00:00:03.664000,-0.025,-0.025
0 days 00:00:03.666000,-0.04,-0.03
0 days 00:00:03.668000,-0.04,-0.03
0 days 00:00:03.670000,-0.05,-0.035
0 days 00:00:03.672000,-0.055,-0.035
0 days 00:00:03.674000,-0.04,-0.04
0 days 00:00:03.676000,-0.03,-0.04
0 days 00:00:03.678000,-0.025,-0.045
0 days 00:00:03.680000,-0.025,-0.045
0 days 00:00:03.682000,-0.03,-0.05
0 days 00:00:03.684000,-0.035,-0.05
0 days 00:00:03.686000,-0.06,-0.055
0 days 00:00:03.688000,-0.06,-0.06
0 days 00:00:03.690000,-0.07,-0.06
0 days 00:00:03.692000,-0.06,-0.06
0 days 00:00:03.694000,-0.035,-0.06
0 days 00:00:03.696000,-0.03,-0.055
0 days 00:00:03.698000,-0.01,-0.05
0 days 00:00:03.700000,-0.025,-0.045
0 days 00:00:03.702000,-0.025,-0.04
0 days 00:00:03.704000,-0.04,-0.035
0 days 00:00:03.706000,-0.055,-0.035
0 days 00:00:03.708000,-0.07,-0.035
0 days 00:00:03.710000,-0.075,-0.04
0 days 00:00:03.712000,-0.04,-0.045
0 days 00:00:03.714000,-0.045,-0.055
0 days 00:00:03.716000,-0.04,-0.06
0 days 00:00:03.718000,-0.045,-0.07
0 days 00:00:03.720000,-0.03,-0.07
0 days 00:00:03.722000,-0.035,-0.075
0 days 00:00:03.724000,-0.05,-0.075
0 days 00:00:03.726000,-0.055,-0.07
0 days 00:00:03.728000,-0.065,-0.07
0 days 00:00:03.730000,-0.07,-0.065
0 days 00:00:03.732000,-0.065,-0.065
0 days 00:00:03.734000,-0.06,-0.065
0 days 00:00:03.736000,-0.05,-0.065
0 days 00:00:03.738000,-0.04,-0.07
0 days 00:00:03.740000,-0.03,-0.07
0 days 00:00:03.742000,-0.045,-0.075
0 days 00:00:03.744000,-0.055,-0.075
0 days 00:00:03.746000,-0.05,-0.075
0 days 00:00:03.748000,-0.06,-0.07
0 days 00:00:03.750000,-0.07,-0.07
0 days 00:00:03.752000,-0.045,-0.065
0 days 00:00:03.754000,-0.04,-0.06
0 days 00:00:03.756000,-0.03,-0.055
0 days 00:00:03.758000,-0.025,-0.055
0 days 00:00:03.760000,-0.04,-0.05
0 days 00:00:03.762000,-0.04,-0.05
0 days 00:00:03.764000,-0.055,-0.05
0 days 00:00:03.766000,-0.055,-0.05
0 days 00:00:03.768000,-0.065,-0.05
0 days 00:00:03.770000,-0.065,-0.05
0 days 00:00:03.772000,-0.065,-0.055
0 days 00:00:03.774000,-0.06,-0.055
0 days 00:00:03.776000,-0.025,-0.06
0 days 00:00:03.778000,-0.03,-0.065
0 days 00:00:03.780000,-0.015,-0.07
0 days 00:00:03.782000,-0.04,-0.075
0 days 00:00:03.784000,-0.06,-0.075
0 days 00:00:03.786000,-0.065,-0.08
0 days 00:00:03.788000,-0.07,-0.08
